ASN,spoofable,IPSpoof,mixed,IPMixed
9105 (TISCALI-UK),20,79.75.1.x/24<br>79.75.10.x/24<br>79.75.12.x/24<br>79.75.13.x/24<br>79.75.14.x/24<br>79.75.15.x/24<br>79.75.16.x/24<br>79.75.17.x/24<br>79.75.19.x/24<br>79.75.21.x/24<br>79.75.22.x/24<br>79.75.24.x/24<br>79.75.26.x/24<br>79.75.28.x/24<br>79.75.29.x/24<br>79.75.3.x/24<br>79.75.5.x/24<br>79.75.7.x/24<br>79.75.9.x/24
42689 (Cablecom-AS),5,109.175.185.x/24<br>2a01:388:2xx::/40<br>2a01:388:3xx::/40<br>5.151.179.x/24<br>5.151.68.x/24,1,5.151.46.x/24
60339 (H3GUK),0,,5,188.29.164.x/24<br>188.29.165.x/24<br>92.40.249.x/24<br>94.197.120.x/24<br>94.197.121.x/24
20860 (IOMART-AS),3,5.62.14.x/24<br>78.129.250.x/24<br>87.117.234.x/24,1,109.169.65.x/24
13285 (OPALTELECOM-AS),3,89.240.162.x/24<br>89.240.164.x/24<br>89.240.168.x/24
42004 (ULGRP-AS),3,195.8.192.x/24<br>2a00:19d8:xx::/40<br>31.10.42.x/24
62240 (Clouvider),2,185.164.137.x/24<br>2a04:92c7:xx::/40,1,185.198.189.x/24
15395,2,134.213.198.x/24,2a00:1a48:78xx::/40
41495 (FAELIX-AS),2,2a01:9e00:a2xx::/40<br>46.227.203.x/24
5089 (NTL),2,94.173.186.x/24<br>62.253.227.x/24
8435,1,141.92.24.x/24
9142,1,213.40.74.x/24
16082 (SPITFIRE),1,31.24.4.x/24
202939 (b5dc),1,185.112.249.x/24
25178 (KEYCOM-AS),0,,1,109.246.12.x/24
2856 (BT-UK-AS),1,217.33.100.x/24
31655 (ASN-GammaTelecom),1,164.39.155.x/24
31742 (SOTACONNECT),0,,1,83.137.226.x/24
35028 (MULTIPLAY),1,2001:4db0:1xx::/40
43754 (ASIATECH),1,79.143.85.x/24
50023 (Vodat),1,109.68.14.x/24
786 (JANET),1,2001:630:2xx::/40
8916 (PORTFAST),1,2a03:9800:xx::/40
